date,transactions
2016-09-13,78004.6343594201
2016-09-14,81480.99468962318
2016-09-15,82617.37689046659
2016-09-16,82988.84715929178
2016-09-17,83110.27651687819
2016-09-18,83149.97037698302
2016-09-19,83162.94584322396
2016-09-20,83167.1873738719
2016-09-21,83168.5738814473
2016-09-22,83169.0271148237
2016-09-23,83169.17527160057
2016-09-24,83169.22370234657
2016-09-25,83169.23953380031
2016-09-26,83169.2447089204
2016-09-27,83169.24640060765
2016-09-28,83169.24695360074
2016-09-29,83169.24713436782
2016-09-30,83169.24719345849
2016-10-01,83169.24721277456
2016-10-02,83169.24721908876
2016-10-03,83169.2472211528
2016-10-04,83169.2472218275
2016-10-05,83169.24722204806
2016-10-06,83169.24722212016
2016-10-07,83169.24722214372
2016-10-08,83169.24722215143
2016-10-09,83169.24722215395
2016-10-10,83169.24722215478
2016-10-11,83169.24722215504
2016-10-12,83169.24722215513
2016-10-13,83169.24722215516
2016-10-14,83169.24722215517
2016-10-15,83169.24722215517
2016-10-16,83169.24722215517
2016-10-17,83169.24722215517
2016-10-18,83169.24722215517
2016-10-19,83169.24722215517
2016-10-20,83169.24722215517
2016-10-21,83169.24722215517
2016-10-22,83169.24722215517
2016-10-23,83169.24722215517
2016-10-24,83169.24722215517
2016-10-25,83169.24722215517
2016-10-26,83169.24722215517
2016-10-27,83169.24722215517
2016-10-28,83169.24722215517
2016-10-29,83169.24722215517
2016-10-30,83169.24722215517
2016-10-31,83169.24722215517
2016-11-01,83169.24722215517
2016-11-02,83169.24722215517
2016-11-03,83169.24722215517
2016-11-04,83169.24722215517
2016-11-05,83169.24722215517
2016-11-06,83169.24722215517
2016-11-07,83169.24722215517
2016-11-08,83169.24722215517
2016-11-09,83169.24722215517
2016-11-10,83169.24722215517
2016-11-11,83169.24722215517
2016-11-12,83169.24722215517
2016-11-13,83169.24722215517
2016-11-14,83169.24722215517
2016-11-15,83169.24722215517
2016-11-16,83169.24722215517
2016-11-17,83169.24722215517
2016-11-18,83169.24722215517
2016-11-19,83169.24722215517
2016-11-20,83169.24722215517
2016-11-21,83169.24722215517
2016-11-22,83169.24722215517
2016-11-23,83169.24722215517
2016-11-24,83169.24722215517
2016-11-25,83169.24722215517
2016-11-26,83169.24722215517
2016-11-27,83169.24722215517
2016-11-28,83169.24722215517
2016-11-29,83169.24722215517
2016-11-30,83169.24722215517
2016-12-01,83169.24722215517
2016-12-02,83169.24722215517
2016-12-03,83169.24722215517
2016-12-04,83169.24722215517
2016-12-05,83169.24722215517
2016-12-06,83169.24722215517
2016-12-07,83169.24722215517
2016-12-08,83169.24722215517
2016-12-09,83169.24722215517
2016-12-10,83169.24722215517
2016-12-11,83169.24722215517
2016-12-12,83169.24722215517
2016-12-13,83169.24722215517
2016-12-14,83169.24722215517
2016-12-15,83169.24722215517
2016-12-16,83169.24722215517
2016-12-17,83169.24722215517
2016-12-18,83169.24722215517
2016-12-19,83169.24722215517
2016-12-20,83169.24722215517
2016-12-21,83169.24722215517
2016-12-22,83169.24722215517
2016-12-23,83169.24722215517
2016-12-24,83169.24722215517
2016-12-25,83169.24722215517
2016-12-26,83169.24722215517
2016-12-27,83169.24722215517
