date,transactions
2016-09-13,77125.0
2016-09-14,77125.0
2016-09-15,77125.0
2016-09-16,77125.0
2016-09-17,77125.0
2016-09-18,77125.0
2016-09-19,77125.0
2016-09-20,77125.0
2016-09-21,77125.0
2016-09-22,77125.0
2016-09-23,77125.0
2016-09-24,77125.0
2016-09-25,77125.0
2016-09-26,77125.0
2016-09-27,77125.0
2016-09-28,77125.0
2016-09-29,77125.0
2016-09-30,77125.0
2016-10-01,77125.0
2016-10-02,77125.0
2016-10-03,77125.0
2016-10-04,77125.0
2016-10-05,77125.0
2016-10-06,77125.0
2016-10-07,77125.0
2016-10-08,77125.0
2016-10-09,77125.0
2016-10-10,77125.0
2016-10-11,77125.0
2016-10-12,77125.0
2016-10-13,77125.0
2016-10-14,77125.0
2016-10-15,77125.0
2016-10-16,77125.0
2016-10-17,77125.0
2016-10-18,77125.0
2016-10-19,77125.0
2016-10-20,77125.0
2016-10-21,77125.0
2016-10-22,77125.0
2016-10-23,77125.0
2016-10-24,77125.0
2016-10-25,77125.0
2016-10-26,77125.0
2016-10-27,77125.0
2016-10-28,77125.0
2016-10-29,77125.0
2016-10-30,77125.0
2016-10-31,77125.0
2016-11-01,77125.0
2016-11-02,77125.0
2016-11-03,77125.0
2016-11-04,77125.0
2016-11-05,77125.0
2016-11-06,77125.0
2016-11-07,77125.0
2016-11-08,77125.0
2016-11-09,77125.0
2016-11-10,77125.0
2016-11-11,77125.0
2016-11-12,77125.0
2016-11-13,77125.0
2016-11-14,77125.0
2016-11-15,77125.0
2016-11-16,77125.0
2016-11-17,77125.0
2016-11-18,77125.0
2016-11-19,77125.0
2016-11-20,77125.0
2016-11-21,77125.0
2016-11-22,77125.0
2016-11-23,77125.0
2016-11-24,77125.0
2016-11-25,77125.0
2016-11-26,77125.0
2016-11-27,77125.0
2016-11-28,77125.0
2016-11-29,77125.0
2016-11-30,77125.0
2016-12-01,77125.0
2016-12-02,77125.0
2016-12-03,77125.0
2016-12-04,77125.0
2016-12-05,77125.0
2016-12-06,77125.0
2016-12-07,77125.0
2016-12-08,77125.0
2016-12-09,77125.0
2016-12-10,77125.0
2016-12-11,77125.0
2016-12-12,77125.0
2016-12-13,77125.0
2016-12-14,77125.0
2016-12-15,77125.0
2016-12-16,77125.0
2016-12-17,77125.0
2016-12-18,77125.0
2016-12-19,77125.0
2016-12-20,77125.0
2016-12-21,77125.0
2016-12-22,77125.0
2016-12-23,77125.0
2016-12-24,77125.0
2016-12-25,77125.0
2016-12-26,77125.0
